#word	valence	arousal	dominance	w
abduction	2.76	5.53	3.49	0
abortion	3.5	5.39	4.59	0
absurd	4.26	4.36	4.73	0
abundance	6.59	5.51	5.8	0
abuse	1.8	6.83	3.69	0
acceptance	7.98	5.4	6.64	0
accident	2.05	6.26	3.76	0
ace	6.88	5.5	6.39	0
ache	2.46	5	3.54	0
achievement	7.89	5.53	6.56	0
activate	5.46	4.86	5.43	0
addict	2.48	5.66	3.72	0
addicted	2.51	4.81	3.46	0
admired	7.74	6.11	7.53	0
adorable	7.81	5.12	5.74	0
adult	6.49	4.76	5.75	0
advantage	6.95	4.76	6.36	0
adventure	7.6	6.98	6.46	0
affection	8.39	6.21	6.08	0
afraid	2	6.67	3.98	0
aggressive	5.1	5.83	5.59	0
agility	6.46	4.85	5.87	0
agony	2.43	6.06	4.02	0
agreement	7.08	5.02	6.22	0
air	6.34	4.12	5.1	0
alcoholic	2.84	5.69	4.45	0
alert	6.2	6.85	5.96	0
alien	5.6	5.45	4.64	0
alimony	3.95	4.3	4.63	0
alive	7.25	5.5	6.39	0
allergy	3.07	4.64	3.21	0
alley	4.48	4.91	4	0
alone	2.41	4.83	3.7	0
aloof	4.9	4.28	4.69	0
ambition	7.04	5.61	6.93	0
ambulance	2.47	7.33	3.22	0
angel	7.53	4.83	4.97	0
anger	2.34	7.63	5.5	0
angry	2.85	7.17	5.55	0
ankle	5.27	4.16	4.77	0
annoy	2.74	6.49	5.09	0
answer	6.63	5.41	5.85	0
anxious	4.81	6.92	5.33	0
applause	7.5	5.8	6.48	0
appliance	5.1	4.05	5.05	0
arm	5.34	3.59	5.07	0
army	4.72	5.03	5.03	0
aroused	7.97	6.63	6.14	0
arrogant	3.69	5.65	5.14	0
art	6.68	4.86	5.3	0
assassin	3.09	6.28	4.33	0
assault	2.03	7.51	3.94	0
astonished	6.56	6.58	5.16	0
astronaut	6.66	5.28	5.2	0
athletics	6.61	6.1	6.12	0
autumn	6.3	4.51	5.15	0
avalanche	3.29	5.54	3.61	0
avenue	5.5	4.12	5.4	0
awed	6.7	5.74	5.3	0
baby	8.22	5.53	5	0
bake	6.17	5.1	5.49	0
bandage	4.54	3.9	4.52	0
bankrupt	2	6.21	3.27	0
banner	5.4	3.83	4.8	0
bar	6.42	5	5.47	0
barrel	5.05	3.36	4.89	0
basket	5.45	3.63	5.76	0
bastard	3.36	6.07	4.17	0
bath	7.33	4.16	6.41	0
bathroom	5.55	3.88	5.65	0
bathtub	6.69	4.36	5.76	0
beach	8.03	5.53	5.44	0
beast	4.23	5.57	4.89	0
beautiful	7.6	6.17	6.29	0
beauty	7.82	4.95	5.53	0
bed	7.51	3.61	6.88	0
bees	3.2	6.51	4.16	0
beggar	3.22	4.91	4.09	0
bench	4.61	3.59	4.68	0
bereavement	4.57	4.2	4.33	0
betray	1.68	7.24	4.92	0
beverage	6.83	5.21	5.63	0
bird	7.27	3.17	4.42	0
birthday	7.84	6.68	5.89	0
black	5.39	4.61	5.14	0
blackmail	2.95	6.03	3.54	0
bland	4.1	3.29	4.88	0
blase	4.89	3.94	4.57	0
blasphemy	3.75	4.93	4.75	0
bless	7.19	4.05	5.52	0
blind	3.05	4.39	3.28	0
bliss	6.95	4.41	6.12	0
blister	2.88	4.1	3.98	0
blond	6.43	5.07	5.74	0
bloody	2.9	6.41	3.96	0
blossom	7.26	5.03	5.53	0
blubber	3.52	4.57	3.86	0
blue	6.76	4.31	5.63	0
board	4.82	3.36	4.98	0
body	5.55	5.52	5.34	0
bold	6.8	5.6	6.67	0
bomb	2.1	7.15	4.54	0
book	5.72	4.17	5.3	0
bored	2.95	2.83	4.11	0
bottle	6.15	4.79	4.78	0
bouquet	7.02	5.46	6.15	0
bowl	5.33	3.47	4.69	0
boxer	5.51	5.12	5.1	0
boy	6.32	4.58	5.34	0
brave	7.15	6.15	7.22	0
