#word	valence	arousal	dominance	w
masturbate	5.45	5.67	5.63	0
material	5.26	4.05	5.12	0
measles	2.74	5.06	4.13	0
medicine	5.67	4.4	4.7	0
meek	3.87	3.8	3.67	0
melody	7.07	4.98	5.46	0
memories	7.48	6.1	5.88	0
memory	6.62	5.42	5.11	0
menace	2.88	5.52	4.98	0
merry	7.9	5.9	6.64	0
messy	3.15	3.34	4.75	0
metal	4.95	3.79	5.38	0
method	5.56	3.85	5.67	0
mighty	6.54	5.61	7.23	0
mildew	3.17	4.08	4.4	0
milk	5.95	3.68	5.83	0
millionaire	8.03	6.14	6.97	0
mind	6.68	5	6.37	0
miracle	8.6	7.65	5.35	0
mischief	5.57	5.76	5.56	0
misery	1.93	5.17	2.55	0
mistake	2.86	5.18	3.86	0
mobility	6.83	5	6.43	0
modest	5.76	3.98	4.96	0
mold	3.55	4.07	4.33	0
moment	5.76	3.83	4.81	0
money	7.59	5.7	6.25	0
month	5.15	4.03	4.85	0
moody	3.2	4.18	4.39	0
moral	6.2	4.49	5.9	0
morbid	2.87	5.06	4.34	0
morgue	1.92	4.84	3.61	0
mosquito	2.8	4.78	4.51	0
mother	8.39	6.13	5.74	0
mountain	6.59	5.49	5.46	0
movie	6.86	4.93	5	0
mucus	3.34	3.41	4.8	0
muddy	4.44	4.13	4.73	0
muffin	6.57	4.76	5.51	0
murderer	1.53	7.47	3.77	0
muscular	6.82	5.47	6.58	0
museum	5.54	3.6	5.32	0
mushroom	5.78	4.72	5.52	0
music	8.13	5.32	6.39	0
mutation	3.91	4.84	4.07	0
mutilate	1.82	6.41	3.41	0
mystic	6	4.84	5.52	0
naked	6.34	5.8	6	0
name	5.55	4.25	5.16	0
narcotic	4.29	4.93	4.44	0
nasty	3.58	4.89	5	0
natural	6.59	4.09	5.57	0
nature	7.65	4.37	4.95	0
nectar	6.9	3.89	4.54	0
needle	3.82	5.36	3.95	0
neglect	2.63	4.83	3.85	0
nervous	3.29	6.59	3.56	0
neurotic	4.45	5.13	4.41	0
news	5.3	5.17	4.6	0
nice	6.55	4.38	5.58	0
nightmare	1.91	7.59	3.68	0
nipple	6.27	5.56	5.57	0
noisy	5.02	6.38	4.93	0
nonchalant	4.74	3.12	4.31	0
nonsense	4.61	4.17	4.9	0
noose	3.76	4.39	4.17	0
nourish	6.46	4.29	5.8	0
nude	6.82	6.41	5.96	0
nuisance	3.27	4.49	4.36	0
nun	4.93	2.93	4.93	0
nurse	6.08	4.84	4.84	0
nursery	5.73	4.04	5.18	0
obesity	2.73	3.87	3.74	0
obey	4.52	4.23	4.26	0
obnoxious	3.5	4.74	5.39	0
obscene	4.23	5.04	4.48	0
obsession	4.52	6.41	4.77	0
ocean	7.12	4.95	5.53	0
odd	4.82	4.27	4.77	0
offend	2.76	5.56	3.73	0
office	5.24	4.08	5.59	0
opinion	6.28	4.89	5.53	0
optimism	6.95	5.34	6.61	0
option	6.49	4.74	6.34	0
orchestra	6.02	3.52	5.17	0
orgasm	8.32	8.1	6.83	0
outdoors	7.47	5.92	6.27	0
outrage	3.52	6.83	5.26	0
outstanding	7.75	6.24	6.4	0
overcast	3.65	3.46	4.2	0
overwhelmed	4.19	7	3.89	0
owl	5.8	3.98	5.82	0
pain	2.13	6.5	3.71	0
paint	5.62	4.1	5.75	0
palace	7.19	5.1	5.69	0
pamphlet	4.79	3.62	4.63	0
pancakes	6.08	4.06	5.76	0
panic	3.12	7.02	3.2	0
paper	5.2	2.5	4.47	0
paradise	8.72	5.12	6.03	0
paralysis	1.98	4.73	2.56	0
part	5.11	3.82	4.75	0
party	7.86	6.69	5.83	0
passage	5.28	4.36	5.02	0
passion	8.03	7.26	6.13	0
pasta	6.69	4.94	5.8	0
patent	5.29	3.5	4.9	0
patient	5.29	4.21	4.9	0
patriot	6.71	5.17	5.9	0
peace	7.72	2.95	5.45	0
penalty	2.83	5.1	3.95	0
pencil	5.22	3.14	4.78	0
penis	5.9	5.54	5.92	0
penthouse	6.81	5.52	6.52	0
people	7.33	5.94	6.14	0
perfection	7.25	5.95	6.71	0
perfume	6.76	5.05	5.93	0
person	6.32	4.19	5.35	0
pervert	2.79	6.26	4.72	0
pest	3.13	5.62	5.29	0
pet	6.79	5.1	5.85	0
phase	5.17	3.98	4.65	0
pie	6.41	4.2	5.35	0
pig	5.07	4.2	5.34	0
pillow	7.92	2.97	4.56	0
pinch	3.83	4.59	4.76	0
pistol	4.2	6.15	5.05	0
pity	3.37	3.72	4.12	0
pizza	6.65	5.24	5.69	0
plain	4.39	3.52	4.71	0
plane	6.43	6.14	4.78	0
plant	5.98	3.62	4.71	0
pleasure	8.28	5.74	6.15	0
poetry	5.86	4	5.31	0
poison	1.98	6.05	3.1	0
politeness	7.18	3.74	5.74	0
pollute	1.85	6.08	4.92	0
poster	5.34	3.93	4.91	0
poverty	1.67	4.87	3.21	0
power	6.54	6.67	7.28	0
powerful	6.84	5.83	7.19	0
prairie	5.75	3.41	4.62	0
present	6.95	5.12	5.83	0
pressure	3.38	6.07	3.45	0
prestige	7.26	5.86	6.9	0
pretty	7.75	6.03	5.5	0
prick	3.98	4.7	4.47	0
pride	7	5.83	7.06	0
priest	6.42	4.41	4.88	0
prison	2.05	5.7	4.2	0
privacy	5.88	4.12	5.66	0
profit	7.63	6.68	5.85	0
progress	7.73	6.02	6.76	0
promotion	8.2	6.44	6.79	0
protected	7.29	4.09	5.8	0
proud	8.03	5.56	6.74	0
pungent	3.95	4.24	4.78	0
punishment	2.22	5.93	3.5	0
puppy	7.56	5.85	5.51	0
pus	2.86	4.82	4.35	0
putrid	2.38	5.74	4.89	0
python	4.05	6.18	4.52	0
quality	6.25	4.48	5.64	0
quarrel	2.93	6.29	4.02	0
quart	5.39	3.59	5.2	0
queen	6.44	4.76	5.49	0
quick	6.64	6.57	6.57	0
quiet	5.58	2.82	4.42	0
rabbit	6.57	4.02	6.08	0
rabies	1.77	6.1	3.85	0
radiant	6.73	5.39	5.61	0
radiator	4.67	4.02	4.81	0
radio	6.73	4.78	5.28	0
rage	2.41	8.17	5.68	0
rain	5.08	3.65	4.78	0
rainbow	8.14	4.64	4.72	0
rancid	4.34	5.04	4.59	0
rape	1.25	6.81	2.97	0
rat	3.02	4.95	4.55	0
rattle	5.03	4.36	4.17	0
razor	4.81	5.36	4.91	0
red	6.41	5.29	5.78	0
refreshment	7.44	4.45	5	0
regretful	2.28	5.74	3.43	0
rejected	1.5	6.37	2.72	0
relaxed	7	2.39	5.55	0
repentant	5.53	4.69	5.42	0
reptile	4.77	5.18	4.77	0
rescue	7.7	6.53	6.45	0
resent	3.76	4.47	4.46	0
reserved	4.88	3.27	4.3	0
respect	7.64	5.19	6.89	0
respectful	7.22	4.6	5.67	0
restaurant	6.76	5.41	5.73	0
reunion	6.48	6.34	5.64	0
reverent	5.35	4	4.67	0
revolt	4.13	6.56	6.18	0
revolver	4.02	5.55	4.39	0
reward	7.53	4.95	6	0
riches	7.7	6.17	6.74	0
ridicule	3.13	5.83	3.87	0
rifle	4.02	6.35	4.16	0
rigid	3.66	4.66	4.61	0
riot	2.96	6.39	4.18	0
river	6.85	4.51	5.1	0
roach	2.35	6.64	4.82	0
robber	2.61	5.62	3.62	0
rock	5.56	4.52	5.15	0
rollercoaster	8.02	8.06	5.1	0
romantic	8.32	7.59	6.08	0
rotten	2.26	4.53	4.32	0
rough	4.74	5.33	4.81	0
rude	2.5	6.31	4.91	0
runner	5.67	4.76	5.47	0
rusty	3.86	3.77	4.53	0
sad	1.61	4.13	3.45	0
safe	7.07	3.86	5.81	0
sailboat	7.25	4.88	5.86	0
saint	6.49	4.49	5.37	0
salad	5.74	3.81	5.47	0
salute	5.92	5.31	5.46	0
sapphire	7	5	5.55	0
satisfied	7.94	4.94	6.14	0
save	6.45	4.95	6	0
savior	7.73	5.8	6.64	0
scalding	2.82	5.95	3.82	0
scandal	3.32	5.12	4.34	0
scapegoat	3.67	4.53	3.52	0
scar	3.38	4.79	3.88	0
scared	2.78	6.82	2.94	0
scholar	7.26	5.12	6.59	0
scissors	5.05	4.47	5.16	0
scorching	3.76	5	4.1	0
scorn	2.84	5.48	3.93	0
scornful	3.02	5.04	4.59	0
scorpion	3.69	5.38	3.98	0
scream	3.88	7.04	4.75	0
scum	2.43	4.88	4.26	0
scurvy	3.19	4.71	4.48	0
seasick	2.05	5.8	3.41	0
seat	4.95	2.95	4.84	0
secure	7.57	3.14	5.93	0
selfish	2.42	5.5	4.64	0
sentiment	5.98	4.41	5.09	0
serious	5.08	4	5.12	0
severe	3.2	5.26	3.83	0
sex	8.05	7.36	5.75	0
sexy	8.02	7.36	6.82	0
shadow	4.35	4.3	4.19	0
shamed	2.5	4.88	2.98	0
shark	3.65	7.16	2.63	0
sheltered	5.75	4.28	3.76	0
ship	5.55	4.38	5.12	0
shotgun	4.37	6.27	5.29	0
shriek	3.93	5.36	4.3	0
shy	4.64	3.77	3.44	0
sick	1.9	4.29	3.04	0
sickness	2.25	5.61	3.84	0
silk	6.9	3.71	4.81	0
silly	7.41	5.88	6	0
sin	2.8	5.78	3.62	0
sinful	2.93	6.29	4.24	0
sissy	3.14	5.17	3.58	0
skeptical	4.52	4.91	4.5	0
skijump	7.06	7.06	4.9	0
skull	4.27	4.75	4.86	0
sky	7.37	4.27	5.16	0
skyscraper	5.88	5.71	4.33	0
slap	2.95	6.46	4.21	0
slaughter	1.64	6.77	3.82	0
slave	1.84	6.21	3.29	0
sleep	7.2	2.8	5.41	0
slime	2.68	5.36	4.17	0
slow	3.93	3.39	4.35	0
