#Term	pleasantness	attention	sensitivity	aptitude	polarity
cry a lot	-0.188	-0.061	-0.111	-0.256	-0.165
cry child	-0.129	0	-0.19	-0.078	-0.132
cry hard	-0.98	0	-0.712	0	-0.564
cry help	-0.719	0	0	0	-0.24
cry loudly	-0.096	-0.019	-0.128	-0.127	-0.111
cry wolf	-0.11	-0.046	0.033	-0.08	-0.059
crystalline solid	0.032	0	0	0.077	0.036
cucumber beetle	0	-0.093	0.119	-0.119	-0.048
cuddle	0.022	-0.016	-0.091	-0.064	-0.039
cue	0.067	-0.2	0.064	0	0.068
cult	0.052	0.223	-0.068	0.163	0.123
cultivate	0	0.111	0	0.116	0.076
cultivate yard	0.101	0.137	0	0.193	0.144
cultivation	0	0.105	0	0.1	0.068
cultural	-0.058	0	-0.059	0	-0.039
cultural change	0.071	0.103	-0.111	0.087	0.05
cultural experience	0.973	0.822	0	0.735	0.843
culture	0.096	0.097	-0.075	0	0.039
cum	0	0.079	0	0	0.026
cunt	-0.119	0	-0.162	0.062	-0.073
cup	0.093	-0.021	0	0.056	0.057
cup breast	-0.099	0.109	-0.08	0	-0.023
cup hand	-0.113	0.077	-0.077	0	-0.038
cup tea	0.145	-0.02	-0.074	0.069	0.053
cupcake	0.085	-0.175	-0.05	0	0.07
curb	0	0	0.033	-0.045	-0.026
cure	0.713	0	0	0.766	0.493
cure illness	-0.065	0.068	-0.123	-0.163	-0.094
curfew	0	0.227	-0.126	0.149	0.083
curiosity	-0.093	-0.03	-0.11	0	-0.058
curl	0.063	0	0.01	0.16	0.071
curl iron	0.023	-0.098	0.083	-0.119	-0.027
curly	0.03	0.069	0	0.168	0.089
currency	0	0.237	0.039	0.098	0.099
currency exchange	-0.059	0.308	-0.095	0.182	0.112
currency system	-0.149	-0.018	-0.142	-0.028	-0.1
currency unit	0	0.12	0.086	0.11	0.048
curse	-0.202	0.109	-0.155	-0.096	-0.115
curtain	-0.025	0	-0.06	0	-0.028
curve	0.052	0.086	0.052	0.224	0.103
custard	0.045	-0.1	-0.049	0	0.032
custom	0.064	0.127	-0.181	0.158	0.056
customer	0.024	0.141	-0.063	0	0.034
customer service	-0.086	0.267	-0.147	0.128	0.054
cut	-0.066	-0.051	0.037	-0.148	-0.067
cut cheese	0.051	0.111	0.056	0.052	0.053
cut down	0	-0.036	0	0.094	0.043
cut down tree	-0.044	-0.13	0.038	-0.174	-0.042
cut edge	0	0	0.022	-0.14	-0.054
cut fabric	-0.041	-0.062	0.087	-0.132	-0.066
cut finger	0	0	0	-0.717	-0.239
cut flower	0.102	0	0	0	0.034
cut food	-0.086	-0.084	0.021	-0.138	-0.054
cut half	-0.022	0	0.061	0	-0.028
cut knife	-0.097	-0.02	-0.046	-0.087	-0.07
cut line	-0.081	-0.042	0.062	-0.046	-0.049
cut lumber	-0.049	0	0.06	-0.042	-0.05
cut meat	0	-0.02	0.043	-0.045	-0.023
cut off	-0.05	0.167	-0.047	0.071	0.047
cut oneself	-0.066	-0.079	0	-0.164	-0.05
cut open	-0.099	0	-0.15	-0.058	-0.102
cut paper	-0.043	-0.026	0.057	-0.083	-0.052
cut ribbon	-0.042	-0.095	-0.078	-0.09	-0.038
cut skin	0	0	-0.819	-0.911	-0.577
cut tool	-0.054	-0.029	0.05	-0.133	-0.069
cut tree	-0.046	0	0.026	-0.048	-0.04
cut up	-0.061	-0.027	0.068	-0.09	-0.064
cut vegetable	-0.042	-0.021	0	-0.105	-0.042
cut wood	-0.074	-0.024	0.036	-0.128	-0.071
cute	0.057	0	0.023	0.124	0.053
cutworm	-0.022	-0.098	0.11	-0.131	-0.055
cyan	-0.096	0	0.009	0	-0.035
cycle	0	0	0	0.106	0.035
cyclist	0.073	-0.022	0	0	0.032
cylinder	0.042	-0.02	0.035	0.065	0.031
cylindrical	0.022	0	0.015	0.096	0.034
cylindrical shape	0.042	0	0.045	0.124	0.04
cynical	-0.447	0.391	-0.103	-0.237	-0.132
cynicism	-0.447	0.391	-0.103	-0.237	-0.132
cystoscope	0	0	-0.059	-0.119	-0.059
daddy	0.051	0.133	-0.131	0.064	0.039
dagger	-0.026	-0.069	0.054	-0.207	-0.073
daily	-0.028	0	-0.075	0.201	0.033
daily activity	-0.03	0.157	-0.156	0.22	0.064
daily news	0.03	0	0.01	0.071	0.03
dairy	0.037	0	0	0.067	0.035
dairy product	0.057	0	0.018	0.058	0.032
dais	-0.048	-0.018	-0.136	0.09	-0.025
daisy	0	0.095	-0.082	0.077	0.03
dale	-0.056	0	-0.095	-0.115	-0.089
damage	-0.831	-0.993	-0.83	-0.784	-0.484
damage body	-0.941	-0.805	-0.821	-0.758	-0.572
damage car	-0.163	-0.079	-0.086	-0.163	-0.111
damn	-0.04	0	0	-0.05	-0.03
damsel	-0.107	0.143	-0.24	0.053	-0.05
dance	0.922	0	0	0.762	0.561
dance club	0.966	0.921	0	0.892	0.926
dance joy	0	0.091	0	0.073	0.055
dance move	0.073	0	0	0.231	0.101
dance music	0.884	0.942	0	0.743	0.856
dance samba	0.925	0.993	0	0.832	0.917
dance together	0.96	0.884	0	0.755	0.866
dance type	0.17	-0.048	0.021	0.124	0.107
dance well	0.742	0.911	0	0.956	0.87
dancer	0.965	0	0	0.907	0.624
dander	-0.15	0.162	0.596	-0.625	-0.403
dandruff	-0.195	-0.105	0.041	-0.233	-0.121
danger	-0.806	0	-0.992	-0.813	-0.87
dangerous	-0.09	0	-0.147	0	-0.079
dangerous activity	0.094	0.14	-0.053	-0.047	0.045
dangerous drive	0.242	0.07	0	0.099	0.137
dangerous health	-0.216	0.147	-0.275	0.131	-0.071
dangerous human	-0.074	0.07	-0.138	0	-0.047
dangerous job	0	-0.984	-0.708	-0.812	-0.179
dangerous person	-0.037	0	-0.159	0.052	-0.048
dangerous sport	0	-0.036	0	0.149	0.062
dangerous weapon	-0.067	-0.046	0	-0.204	-0.075
dark	-0.722	0	-0.894	0	-0.539
dark alley	0	0	-0.823	-0.923	-0.582
dark area	-0.025	0.096	0	0.079	0.05
dark beer	0.152	0.099	-0.07	0.107	0.096
dark color	-0.102	0	0	0	-0.034
dark light	0	0.114	0	0.08	0.065
dark outside	-0.083	0	-0.045	0	-0.043
dark place	-0.025	0	0	-0.052	-0.026
darkness	-0.118	0.074	-0.129	0	-0.058
dart board	0.035	-0.108	0.026	0	0.039
darwin	-0.049	0.192	-0.079	0.152	0.072
dash	-0.483	0.385	-0.196	-0.104	-0.133
date girl	-0.101	0	-0.056	0	-0.052
date man	-0.113	0.118	-0.09	-0.034	-0.04
date woman	-0.108	0.113	-0.095	0	-0.03
daunt	-0.47	0.387	-0.2	-0.171	-0.151
dauntless	0.481	0.663	-0.252	0.24	0.377
dauntlessly	0.481	0.663	-0.252	0.24	0.377
day job	-0.05	0.197	-0.119	0.184	0.071
day off	0.981	0.791	0	0	0.591
daycare	0	0	-0.089	-0.066	-0.052
daydream	-0.097	0	0	-0.121	-0.073
daze	-0.328	0.212	-0.125	-0.084	-0.108
dazed	-0.038	-0.546	-0.058	0.306	0.252
dazzling	0.712	0	0.809	0.707	0.203
dazzlingly	-0.328	0.212	-0.125	-0.084	-0.108
dead	0.024	0	0	0.114	0.046
dead body	-0.092	0	-0.1	-0.196	-0.129
dead fish	0	0	0.021	-0.053	-0.025
dead person	-0.09	0.069	-0.148	-0.14	-0.103
dead place	-0.147	0.123	-0.159	-0.043	-0.075
dead president	0	0.237	0.035	0.099	0.1
dead stay dead	-0.1	0.178	-0.074	0.076	0.027
deadline	-0.089	0.278	-0.129	0.105	0.055
deadly	0	0	-0.712	0	-0.237
deadly sin	0	0	0.753	-0.72	-0.491
deaf	-0.946	0	0	0	-0.315
deafness	0.262	-0.187	0.071	-0.243	0.045
deal	-0.042	0.274	-0.153	0.278	0.119
deal card	-0.108	0.097	-0.067	0	-0.026
deal card player	-0.116	0.068	-0.06	0	-0.036
deal drug	0	0	0.937	-0.879	-0.605
dear	0.158	0.438	-0.409	0.313	0.167
death	-0.935	-0.752	-0.7	0	-0.294
death destruction	0	-0.928	-0.99	-0.767	-0.276
death love	-0.591	-0.06	-0.355	-0.252	-0.379
death penalty	-0.307	-0.017	-0.186	-0.181	-0.219
death place	-0.131	0.117	-0.145	-0.061	-0.073
death row	0	0	0.869	0	-0.29
death sentence	-0.119	0.122	-0.115	0	-0.037
death wish	-0.811	0	0	0	-0.27
debit	-0.05	0.26	-0.082	0.142	0.09
debit card	-0.05	0.14	0.015	0.082	0.052
debt	-0.038	0.271	-0.124	0.055	0.055
debug	0.918	0.988	0	0	0.635
debut	0.093	-0.188	-0.046	0	0.078
decay	-0.09	-0.006	-0.164	-0.096	-0.115
deceit	-0.748	-0.848	0.811	-0.796	-0.502
deceitful	-0.101	0.165	0	0.074	0.046
deceive	-0.72	-0.931	0.921	-0.812	-0.507
december	0.768	0.81	0	0.819	0.799
deception	-0.787	-0.925	0.986	-0.913	-0.587
decibel	0.036	0	0.02	0.112	0.043
decide case	-0.038	0.182	-0.05	0.096	0.063
decide eat	0.8	0	0.933	0	-0.044
decide guilt	0	0.144	0	0.077	0.074
decide order	-0.026	0	0.046	-0.061	-0.044
decide to go	-0.055	0.077	0	0.058	0.027
decide to go first	0	0	0	0.703	0.234
decide want	0.027	0.151	0	0.078	0.085
decide want go	-0.055	0.077	0	0.058	0.027
decision	-0.062	0.32	-0.101	0.248	0.135
decision make	0	0.197	-0.069	0.233	0.12
deck card	0	-0.038	0	0.075	0.038
declare	0	0.151	-0.176	0.196	0.057
declare war	-0.091	0	-0.064	-0.199	-0.118
decline	-0.069	0	0.043	0	-0.037
decompose	-0.227	0	-0.199	0	-0.142
decomposition	-0.477	0	-0.462	-0.041	-0.327
decorate	0.092	0	-0.057	0.158	0.064
decorate home	0.875	0	0	0.962	0.612
decorate house	0.216	0.154	-0.055	0.342	0.219
decorate oneself	0.075	0.078	-0.075	0.185	0.088
decorate room	0.046	0.092	0	0.089	0.076
decorate yard	0	-0.097	0.035	0.1	0.054
decoration	0.059	-0.017	0	0.109	0.062
decorative	0.06	0	0	0.23	0.097
decorator	0	0.098	0	0.144	0.081
decree	0	0.173	-0.091	0.092	0.058
dedication	0	0	0	0.946	0.315
deduce	-0.091	0.106	0	0.093	0.036
deduction	0.064	0.4	-0.155	0.308	0.206
deed	-0.028	0.202	-0.156	0.266	0.095
deep blue	-0.164	0	0	0.085	-0.026
deep sadness	-0.859	0	0	0	-0.286
deep thinker	-0.035	0	0	-0.164	-0.066
defeat	-0.86	0	-0.997	0	-0.619
defeat enemy	0.827	0	0	0.868	0.565
defeated	-0.502	0.382	-0.199	-0.187	-0.169
defeatism	-0.502	0.382	-0.199	-0.187	-0.169
defecate	-0.046	0	-0.072	-0.097	-0.072
defecation	-0.412	0.081	-0.415	0.155	-0.197
defence	-0.065	0.097	-0.085	-0.122	-0.058
defend	0	0.276	-0.279	0.127	0.041
defend oneself	-0.119	-0.047	-0.077	-0.22	-0.123
defendant	-0.049	0.134	0	0	0.028
defense	-0.045	0	-0.068	-0.061	-0.058
defensive	0	0.14	0	0.114	0.085
define	-0.086	0.199	-0.058	0.205	0.087
definite	0.078	0.229	-0.115	0.209	0.134
definition	-0.057	0.113	0	0.055	0.037
deflate	-0.101	0	0	0	-0.034
defrost	-0.049	0	-0.05	0	-0.033
dehydration	-0.076	-0.076	0.018	-0.136	-0.051
deity	0	0	0	0.844	0.281
deject	-0.81	0.239	-0.443	-0.064	-0.359
dejectedness	-0.752	0.288	-0.434	-0.058	-0.319
delay	0	0	0.98	-0.889	-0.623
deli store	0	0	0.016	-0.086	-0.034
deliberate	-0.32	0.138	-0.259	0.055	-0.129
delicate	0.058	0.141	0	0.207	0.135
delicious	0.075	0.076	0	0.166	0.106
delicious food	0.965	0.936	0	0	0.634
delicious fruit	0.05	0	0.047	0.068	0.024
delight	0.709	0.977	0	0.795	0.827
delight audience	0.986	0.924	0	0	0.637
delight child	0.933	0.85	0	0.966	0.916
delight sense	0.456	0	0.079	-0.147	0.077
delighted	0.601	0.647	-0.266	0.322	0.435
deliver	0	0.149	-0.218	0.279	0.07
deliver baby	-0.037	0	-0.082	0	-0.04
delivery	-0.037	0.093	-0.118	0.174	0.037
demand	0	0.345	-0.304	0.37	0.137
demeaning	-0.385	0.43	-0.134	-0.191	-0.093
demeaningly	-0.385	0.43	-0.134	-0.191	-0.093
demo	0	0	0.07	0	-0.023
democracy	0.044	0.133	-0.086	0.087	0.059
democratic	0.151	-0.094	0	0	0.082
democratic process	0	0.261	-0.121	0.322	0.154
demolish	-0.104	0	-0.117	-0.047	-0.089
demolition	-0.087	0	-0.085	-0.147	-0.106
demon	-0.09	0.085	-0.085	-0.112	-0.067
demonstrate	-0.022	0	0	-0.116	-0.046
demonstrate knowledge	-0.105	0	0	-0.112	-0.072
demonstrate skill	0.833	0.906	0	0.893	0.877
demonstration	-0.025	0	-0.069	-0.047	-0.047
demoralization	-0.833	0.22	-0.462	-0.051	-0.375
demoralize	-0.81	0.239	-0.443	-0.064	-0.359
demoralized	-0.73	0.288	-0.367	-0.108	-0.306
demoralizing	-0.833	0.22	-0.462	-0.051	-0.375
denial	0	0	0.736	-0.995	-0.577
denomination	0	0.261	0.06	0.182	0.128
dense	0.046	0	0.04	0.109	0.038
dental chair	0	-0.041	0	-0.211	-0.057
dental floss	0.023	-0.069	0.032	-0.179	-0.04
dental office	0.025	0	-0.049	-0.123	-0.049
dental work	-0.114	0	-0.068	0	-0.061
dentist	0	0	-0.131	-0.152	-0.094
dentist's office	0	0	-0.136	-0.146	-0.094
dentist chair	0.034	-0.025	0	-0.144	-0.028
dentist office	0	0	-0.08	-0.154	-0.078
dentist work	-0.023	-0.004	0	-0.083	-0.034
deny	-0.279	-0.18	0.02	-0.361	-0.16
depart	0	0.152	-0.088	0.208	0.091
department	0.028	0.146	0	0.105	0.093
departmental highway	0.024	0	0	-0.105	-0.027
departure	0	0.153	-0.075	0.245	0.108
depend	0	0.387	-0.232	0.313	0.156
deplorable	-0.906	0.138	-0.63	0.071	-0.442
deplorably	-0.883	0.174	-0.597	0	-0.435
deposit	0	0.306	-0.05	0.134	0.13
depress	-0.845	0	0	-0.753	-0.533
depress person	-0.099	-0.024	-0.088	-0.056	-0.073
depressed	-0.784	0.266	-0.45	-0.052	-0.34
depressing	-0.759	0.282	-0.429	-0.066	-0.324
depression	-0.734	0	0	-0.812	-0.515
depth	-0.065	0.07	0.03	0.138	0.038
derivation	0	0.178	0	0.133	0.104
descendant	0.02	0.104	-0.087	0.06	0.032
describe	-0.038	0.136	-0.11	0.267	0.085
describe how to	0.041	0.16	0	0.3	0.167
describer	0	0.19	-0.083	0.275	0.127
description	0.041	0.16	0	0.3	0.167
descriptive	-0.058	0.177	-0.054	0.204	0.09
descriptive term	0	0.199	-0.092	0.283	0.13
design	0.041	0.157	0	0.164	0.121
design software	0	0.841	0	0.804	0.548
designation	0.128	0.286	-0.236	0.251	0.143
designer	0.04	-0.028	0.097	-0.039	-0.023
desirable	0.932	0	0	0.869	0.6
desire	0.846	0.995	0	0	0.614
desire education	-0.116	-0.042	0	-0.214	-0.096
desire entertain	0	0.07	-0.174	-0.111	-0.072
desire entertainment	0	-0.096	0	-0.273	-0.059
desire help	0	0	0	0.768	0.256
desire information	-0.029	-0.074	0.066	-0.092	-0.038
desire knowledge	0	0.945	0	0.795	0.58
desire learn	-0.106	-0.034	0	-0.183	-0.085
desire live	-0.06	0.074	-0.105	-0.051	-0.047
desire money	-0.061	0	0	-0.072	-0.044
desire social interaction	-0.151	-0.115	0	-0.27	-0.102
desire succeed	0.318	0.384	-0.333	0.249	0.206
desire travel	-0.156	0	-0.086	-0.127	-0.123
desolation	-0.696	0.32	-0.389	-0.089	-0.285
despair	-0.984	0	0	-0.941	-0.642
despairing	-0.418	0.415	-0.141	-0.201	-0.115
despairingly	-0.708	0.304	-0.361	-0.108	-0.291
desperate	-0.443	0.414	-0.208	-0.163	-0.133
desperation	-0.091	0.088	-0.137	0.061	-0.026
despise	-0.1	0.158	0.638	-0.668	-0.416
despising	-0.072	0.187	0.64	-0.64	-0.388
despite	-0.115	0.188	0.608	-0.633	-0.389
despiteful	-0.031	0.157	0.698	-0.661	-0.411
despondence	-0.826	0.226	-0.461	-0.051	-0.371
despondency	-0.826	0.226	-0.461	-0.051	-0.371
despondent	-0.826	0.226	-0.461	-0.051	-0.371
despondently	-0.708	0.304	-0.361	-0.108	-0.291
despot	0.029	0.079	0	0.063	0.057
dessert	0.092	-0.051	0	0	0.048
destination	0	0.14	0	0.172	0.104
destiny	-0.118	0.266	-0.319	0.366	0.065
destroy	-0.114	-0.011	-0.103	-0.111	-0.106
destroy build	-0.133	-0.014	-0.087	-0.11	-0.105
destroy building	-0.037	-0.059	-0.07	-0.035	-0.028
destroy city	-0.061	-0.064	-0.054	-0.1	-0.05
destroy evidence	0	0	0.863	-0.756	-0.54
destroy home	-0.065	-0.09	0	-0.162	-0.046
destroy live	-0.109	-0.058	-0.048	-0.206	-0.102
destroy property	-0.048	-0.076	0	-0.15	-0.041
destroy target	-0.056	-0.085	0	-0.12	-0.03
destroyer	0	0	-0.138	-0.132	-0.09
destruction	-0.142	-0.008	-0.122	-0.21	-0.155
destructive	0	0	0.967	-0.959	-0.642
detached	-0.091	0.156	0.661	-0.656	-0.417
detachment	-0.9	0	0	0	-0.3
detail	0	0.136	0	0.196	0.111
detect	-0.043	0.128	-0.117	0.191	0.053
detention	-0.914	0	0.931	-0.724	-0.856
determination	-0.116	0.201	-0.07	0.068	0.028
determine	-0.076	0.331	-0.111	0.275	0.14
determine guilt	-0.071	0.148	-0.09	0.094	0.027
determine guilt innocence	-0.039	0.116	0	0	0.026
determine health	-0.15	0.078	-0.303	0	-0.125
determine need	-0.105	0.196	-0.058	0.055	0.029
determine size	-0.076	0.13	0.045	0.149	0.053
detest	-0.092	0.213	0.596	-0.619	-0.365
detestable	-0.062	0.123	0.712	-0.678	-0.443
detestably	-0.062	0.123	0.712	-0.678	-0.443
detestation	-0.063	0.183	0.651	-0.642	-0.391
detour	-0.098	0	0.03	-0.04	-0.056
develop	0	0.276	-0.121	0.317	0.157
develop skill	0.739	0.825	0	0.782	0.782
develop talent	0.984	0.979	0	0.812	0.925
development	0	0.119	-0.155	0.202	0.055
device measure time	-0.022	-0.01	0.058	0	-0.023
devil	0	0	-0.733	-0.872	-0.535
devoted	0.521	0.677	-0.276	0.273	0.398
devotedness	0.521	0.677	-0.276	0.273	0.398
devotion	0	0	0	0.797	0.266
devout	0.059	0.617	-0.313	0.139	0.167
dexterity	0	0.083	0	0	0.028
diabetes	-0.385	-0.129	-0.066	-0.376	-0.233
diagnose illness	-0.037	0.086	-0.159	0	-0.037
diagram	0	0.15	0.067	0.118	0.067
dial	0	0	0.038	0.159	0.04
dial telephone	0.027	0	0.01	0.142	0.053
dialogue	0.117	0.066	0	0.239	0.141
diamond	0.021	0	0	0.054	0.025
diaphragm	0	0	0	-0.116	-0.039
diarrhoea	-0.357	-0.135	-0.056	-0.384	-0.221
dick	0.038	0.1	0	-0.037	0.034
dictation	0.022	0	0	0.171	0.064
dictator	-0.141	0.067	0.015	0	-0.03
dictatorship	0	0	-0.776	-0.731	-0.502
die	-0.332	-0.039	-0.268	-0.143	-0.235
die only once	-0.094	0.078	-0.091	0	-0.036
die out	-0.046	-0.071	-0.051	-0.144	-0.057
die painfully	-0.723	0	-0.848	-0.863	-0.811
die war	-0.265	-0.053	-0.048	-0.206	-0.155
die young	-0.229	0	-0.095	-0.165	-0.163
difference	-0.027	0.236	-0.214	0.177	0.057
different	-0.047	0.082	0	0.077	0.037
different shape	0.029	0.112	0.013	0.15	0.093
different type	-0.044	0	0.041	0	-0.028
difficult	-0.101	0	-0.114	0.116	-0.033
difficult concept	0	-0.172	-0.06	0	0.037
difficult problem	-0.197	-0.157	-0.175	0.113	-0.034
difficult situation	-0.392	-0.279	-0.314	0.264	-0.054
difficulty	-0.407	-0.062	-0.238	0.063	-0.173
diffidence	-0.503	0.373	-0.221	-0.156	-0.169
diffident	-0.486	0.38	-0.209	-0.163	-0.159
diffidently	-0.503	0.373	-0.221	-0.156	-0.169
diffusion	0.223	-0.092	0	0.165	0.16
dig	-0.18	0	-0.107	0	-0.096
dig dirt	-0.087	0	0	0	-0.029
dig gold	-0.119	0.068	-0.108	0	-0.053
dig grave	-0.132	0.082	-0.09	0	-0.047
dig ground	-0.091	0	-0.056	0	-0.049
dig hole	-0.249	0	-0.185	-0.075	-0.17
dig up	-0.081	0.072	-0.121	0	-0.043
digestive system	0	0	0	-0.076	-0.025
digit	0	0	0.102	0	-0.034
dignity	0	0	0	0.968	0.323
dilemma	-0.155	-0.253	-0.168	0.163	0.031
diligence	0.215	0.194	-0.204	0.279	0.161
diligent	-0.143	0.065	-0.047	-0.049	-0.058
dim	-0.109	0	-0.058	0	-0.056
dime store	0	0	0.012	-0.063	-0.025
dimension	0.02	0.087	0.128	0.154	0.044
dimple	0	-0.026	0.033	-0.089	-0.032
dingy	-0.798	0.257	-0.471	-0.036	-0.349
dinner party	0.098	-0.062	0	-0.052	0.036
dinner table	0.052	-0.041	0.024	0	0.023
dip	0.077	0	0	0	0.026
diplomacy	0	0.098	0	0.08	0.059
dire	-0.45	0.39	-0.168	-0.185	-0.138
direct	0.05	0.166	-0.071	0.152	0.099
direct person	0.025	0.073	0.123	-0.047	-0.024
direction	0	0.175	0	0.231	0.135
director	-0.043	0.189	0	0.066	0.071
directory	0	0	0.041	-0.034	-0.025
direful	-0.45	0.39	-0.168	-0.185	-0.138
dirt	-0.039	-0.01	0.026	-0.042	-0.032
dirt soil	-0.056	0.076	0	0.107	0.042
dirty	0	0	0.943	-0.8	-0.581
dirty clothes	0	0	0.94	-0.875	-0.605
dirty dish	0	0	0.865	-0.953	-0.606
dirty kitchen	0	0	0.933	-0.866	-0.6
dirty laundry	-0.045	0	-0.08	-0.078	-0.068
dirty magazine	0	-0.064	0.097	-0.098	-0.044
dirty sock	0	0	0	-0.924	-0.308
disability	-0.774	0	0	-0.792	-0.522
disaffect	-0.106	0.176	0.629	-0.642	-0.4
disaffection	-0.106	0.176	0.629	-0.642	-0.4
disagree	-0.105	0.101	0	-0.075	-0.026
disagreement	-0.156	0.109	-0.094	-0.101	-0.081
disappointed	-0.502	0.382	-0.199	-0.187	-0.169
disappointment	-0.927	-0.762	0	0	-0.055
disapproval	-0.6	-0.3	0	0	-0.1
disapprove	-0.126	0.192	0.596	-0.628	-0.386
disapproving	-0.126	0.192	0.596	-0.628	-0.386
disarray	-0.029	-0.154	0.012	-0.234	-0.04
disaster	-0.171	0	-0.25	-0.135	-0.185
disbelief	-0.246	-0.247	-0.197	-0.076	-0.091
discharge	0.043	0.093	-0.047	0	0.03
discipline	0	0	0	0.766	0.255
disclosure	-0.026	0.175	-0.115	0.148	0.061
disco	0.799	0.88	0	0	0.56
discombobulation	-0.564	0.376	-0.276	-0.136	-0.2
discomfit	-0.472	0.41	-0.196	-0.179	-0.146
discomfited	-0.502	0.382	-0.199	-0.187	-0.169
discomfiture	-0.472	0.41	-0.196	-0.179	-0.146
discomfort	-0.25	-0.033	-0.157	-0.287	-0.22
discompose	-0.472	0.41	-0.196	-0.179	-0.146
discomposure	-0.472	0.41	-0.196	-0.179	-0.146
disconcert	-0.522	0.393	-0.239	-0.156	-0.175
disconcertion	-0.472	0.41	-0.196	-0.179	-0.146
disconcertment	-0.472	0.41	-0.196	-0.179	-0.146
disconnection	-0.081	0	-0.114	0	-0.065
disconsolate	-0.798	0.257	-0.471	-0.036	-0.349
disconsolateness	-0.826	0.226	-0.461	-0.051	-0.371
discord	-0.844	0	0.7	-0.927	-0.824
discount	0.95	0.937	0	0	0.629
discourage	-0.501	0.382	-0.177	-0.196	-0.164
discouraged	-0.563	0.269	0.048	-0.379	-0.24
discouragement	-0.501	0.382	-0.177	-0.196	-0.164
discouraging	-0.304	0.294	0.311	-0.497	-0.273
discourse	0	0	0.014	0.088	0.025
discover	-0.067	0.176	-0.106	0.098	0.034
discover fact	0.681	-0.572	0	0.632	0.628
discover new place	-0.045	-0.068	0.03	-0.132	-0.046
discreditably	-0.445	0.416	-0.183	-0.173	-0.128
discredited	-0.445	0.416	-0.183	-0.173	-0.128
discrimination	-0.058	0.093	-0.072	-0.049	-0.029
discuss friend	-0.094	0	0	-0.047	-0.047
discuss issue	0.128	0.128	-0.053	0.174	0.126
disdain	-0.101	0.188	0.62	-0.636	-0.39
disease	-0.109	0	-0.167	-0.232	-0.169
diseased	-0.793	0	-0.714	-0.714	-0.74
disgrace	-0.913	0	-0.729	-0.882	-0.841
disgraced	-0.445	0.416	-0.183	-0.173	-0.128
disgraceful	-0.445	0.416	-0.183	-0.173	-0.128
disgracefully	-0.445	0.416	-0.183	-0.173	-0.128
disgust	0	0	0	-0.6	-0.2
disgusted	-0.089	0.158	0.659	-0.656	-0.415
disgustedly	-0.089	0.158	0.659	-0.656	-0.415
disgustful	-0.089	0.158	0.659	-0.656	-0.415
disgusting	-0.089	0.158	0.659	-0.656	-0.415
disgustingly	-0.089	0.158	0.659	-0.656	-0.415
disheartened	-0.73	0.288	-0.367	-0.108	-0.306
disheartening	-0.833	0.22	-0.462	-0.051	-0.375
disheartenment	-0.501	0.382	-0.177	-0.196	-0.164
dishonest	-0.981	0	0.886	-0.985	-0.951
dishonesty	-0.92	0	0.862	-0.903	-0.895
dishonor	-0.938	0	0.936	-0.881	-0.918
dishonorably	-0.445	0.416	-0.183	-0.173	-0.128
dishonored	-0.445	0.416	-0.183	-0.173	-0.128
disinclination	-0.118	0.19	0.604	-0.63	-0.387
disincline	-0.118	0.19	0.604	-0.63	-0.387
disinclined	-0.118	0.19	0.604	-0.63	-0.387
disinfect	0.038	0	0	0.09	0.043
disinfectant	0	-0.015	-0.056	-0.111	-0.051
dislike	-0.858	0	0.919	-0.963	-0.913
dislike person	-0.136	0	-0.179	-0.207	-0.174
dislikeable	-0.858	0	0.919	-0.963	-0.913
dislocation	-0.097	-0.041	-0.066	-0.186	-0.103
disloyal	-0.927	0	0.784	-0.912	-0.874
dismal	-0.798	0.257	-0.471	-0.036	-0.349
dismay	-0.618	0.338	-0.287	-0.141	-0.236
dismissal	-0.846	0	0	-0.872	-0.573
disney	0.053	0.073	-0.065	0.104	0.055
disneyland	0.957	0.7	0	0	0.552
disorder	0	0	0.817	-0.779	-0.532
disordered	-0.564	0.376	-0.276	-0.136	-0.2
disorganize	0	0	0.814	-0.772	-0.529
disorientation	0.09	-0.006	0.01	-0.186	-0.033
disoriented	-0.106	0.176	0.629	-0.642	-0.4
dispense	-0.067	0	0.023	0	-0.03
dispense water	-0.074	0	0.026	0	-0.033
dispirit	-0.81	0.239	-0.443	-0.064	-0.359
dispirited	-0.784	0.266	-0.45	-0.052	-0.34
dispiritedly	-0.44	0.407	-0.155	-0.197	-0.128
dispiritedness	-0.752	0.288	-0.434	-0.058	-0.319
dispiriting	-0.833	0.22	-0.462	-0.051	-0.375
display information	-0.052	-0.014	0.029	-0.051	-0.039
display item	-0.048	0.151	-0.094	0.187	0.065
display wealth	0.03	0	0	0.119	0.05
displease	-0.123	0.072	0.699	-0.67	-0.473
displeased	-0.123	0.072	0.699	-0.67	-0.473
displeasing	-0.123	0.072	0.699	-0.67	-0.473
displeasingly	-0.123	0.072	0.699	-0.67	-0.473
displeasure	-0.123	0.072	0.699	-0.67	-0.473
disposable razor	0.044	-0.057	0.052	-0.164	-0.038
disposal	-0.14	-0.055	-0.068	-0.171	-0.108
dispose waste	-0.049	0	-0.076	-0.084	-0.07
dispute	0	0	0.733	-0.915	-0.549
disquiet	-0.493	0.387	-0.233	-0.183	-0.174
disquieted	-0.482	0.41	-0.196	-0.187	-0.152
disquietude	-0.472	0.41	-0.196	-0.178	-0.145
